path,status,used_in_manuscript,reason,authoritative_replacement
experiments/experiment_bc/formal_five_overall_summary.csv,authoritative,true,Corrected 20260809 selector outputs adopted by the 20260811 formal tables,
experiments/experiment_bc/formal_five_friedman_tests.csv,authoritative,true,Formal endpoint omnibus tests,
experiments/experiment_bc/formal_five_primary_method_wilcoxon_holm.csv,authoritative,true,Formal primary-method pairwise tests,
experiments/selector_ablation/selector_final_test_summary.csv,authoritative,true,Completed four-variant final-test ablation,
experiments/selector_ablation/friedman.csv,authoritative,true,Completed ablation omnibus tests,
experiments/selector_ablation/pairwise_wilcoxon_holm.csv,authoritative,true,Completed ablation pairwise tests,
real_market/six_algorithm_endpoint_friedman_tests.csv,authoritative,true,Rank-derived rows excluded from inferential table,
real_market/six_algorithm_endpoint_primary_wilcoxon_holm.csv,authoritative,true,Rank-derived rows excluded from inferential table,
real_market/configuration_protocol_endpoint_pairwise_wilcoxon_holm.csv,authoritative,true,Official 20260808 data with 20260810 endpoint-wise Holm correction,
experiments/mokp/mokp_endpoint_friedman_tests.csv,authoritative,true,Inference limited to six named non-rank endpoints,
experiments/mokp/mokp_endpoint_pairwise_wilcoxon_holm.csv,authoritative,true,Inference limited to six named non-rank endpoints,
artifacts/deprecated_or_audit_only/configured_friedman_tests_legacy_rank_inference.csv,audit_only,false,Legacy RankScore inference is descriptive only,real_market/configuration_protocol_endpoint_pairwise_wilcoxon_holm.csv
artifacts/deprecated_or_audit_only/configured_pairwise_wilcoxon_holm_legacy_rank_inference.csv,audit_only,false,Legacy RankScore inference is descriptive only,real_market/configuration_protocol_endpoint_pairwise_wilcoxon_holm.csv
artifacts/deprecated_or_audit_only/configured_transaction_cost_overall_legacy.csv,audit_only,false,Older four-configuration cost summary is not the formal six-algorithm sensitivity table,real_market/six_algorithm_transaction_cost_overall.csv
artifacts/deprecated_or_audit_only/table_real_market_legacy_ambiguous.csv,audit_only,false,Ambiguous legacy table mixed protocol scope,paper_outputs/table_real_market_six_algorithm.csv
artifacts/deprecated_or_audit_only/six_algorithm_friedman_tests_unfiltered_with_rank_rows.csv,audit_only,false,Original producer output includes RankScore and WindowRank inference,real_market/six_algorithm_endpoint_friedman_tests.csv
artifacts/deprecated_or_audit_only/six_algorithm_primary_wilcoxon_holm_unfiltered_with_rank_rows.csv,audit_only,false,Original producer output retained for traceability after rank rows were excluded,real_market/six_algorithm_endpoint_primary_wilcoxon_holm.csv
