scope,dataset,method_or_item,metric,n,value,comparison_or_test,adjusted_p_value,source_file,source_row_key,package_value_status,manuscript_sync_status,descriptive_only,inferential_test
split,synthetic,training,instances,112,112,official split,,data/synthetic/split_manifest.csv,split=train,verified,confirmed_20260811_formal_table,false,false
split,synthetic,validation,instances,48,48,official split,,data/synthetic/split_manifest.csv,split=validation,verified,confirmed_20260811_formal_table,false,false
split,synthetic,test,instances,32,32,official split,,data/synthetic/split_manifest.csv,split=test,verified,confirmed_20260811_formal_table,false,false
experiment_c,synthetic,MetaDesigned_ECMADE_MOO,mean_J_stability,32,0.6962839426927118,formal five-method summary,,experiments/experiment_bc/formal_five_overall_summary.csv,method=MetaDesigned_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
experiment_c,synthetic,MetaDesigned_ECMADE_MOO,mean_StabilityWeightedRank,32,2.1875,formal five-method summary,,experiments/experiment_bc/formal_five_overall_summary.csv,method=MetaDesigned_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,runs,32,960,32 groups x 30 runs,,experiments/experiment_bc/formal_five_run_completeness.csv,method=ExperimentC_StabilityAware_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,mean_J_stability,32,0.6211132494594517,formal five-method summary,,experiments/experiment_bc/formal_five_overall_summary.csv,method=ExperimentC_StabilityAware_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,mean_StabilityWeightedRank,32,2.78125,formal five-method summary,,experiments/experiment_bc/formal_five_overall_summary.csv,method=ExperimentC_StabilityAware_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,mean_Diversity,32,0.8298852283973107,formal five-method summary,,experiments/experiment_bc/formal_five_overall_summary.csv,method=ExperimentC_StabilityAware_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
experiment_c,synthetic,J_stability,friedman_chi_square,32,18.800000000000068,Friedman omnibus,,experiments/experiment_bc/formal_five_friedman_tests.csv,endpoint=J_stability,verified,confirmed_20260811_formal_table,false,true
experiment_c,synthetic,J_stability,friedman_p_value,32,0.0008603302817889492,Friedman omnibus,,experiments/experiment_bc/formal_five_friedman_tests.csv,endpoint=J_stability,verified,confirmed_20260811_formal_table,false,true
